,kic
1701,3222854
1702,3232218
1703,3241199
1704,3248951
1705,3341457
1706,3345665
1707,3424493
1708,3442006
1709,3446837
1710,3446996
1711,3456100
1712,3545457
1713,3645863
1714,3647114
1715,3655115
1716,3657237
1717,3659012
1718,3758403
1719,3762741
1720,3849414
1721,3852644
1722,3858926
1723,3868442
1724,3868832
1725,3941524
1726,3953144
1727,3964082
1728,3964128
1729,3966950
1730,4043227
1731,4057000
1732,4071949
1733,4072890
1734,4074388
1735,4075172
1736,4075685
1737,4159118
1738,4170639
1739,4171580
1740,4178654
1741,4254741
1742,4264365
1743,4358571
1744,4377815
1745,4447461
1746,4466180
1747,4476011
1748,4481653
1749,4484271
1750,4550962
1751,4585982
1752,4649238
1753,4649462
1754,4650137
1755,4656194
1756,4658442
1757,4668676
1758,4733344
1759,4736562
1760,4737731
1761,4752731
1762,4768611
1763,4769505
1764,4774208
1765,4824197
1766,4826031
1767,4842057
1768,4847691
1769,4851881
1770,4857064
1771,4860458
1772,4861194
1773,4909697
1774,4932417
1775,4940217
1776,4951030
1777,4951447
1778,4995588
1779,4999763
1780,4999789
1781,5018191
1782,5019101
1783,5021024
1784,5021329
1785,5027610
1786,5027750
1787,5036761
1788,5088308
1789,5089352
1790,5089498
1791,5106287
1792,5110038
1793,5112836
1794,5121956
1795,5207238
1796,5213221
1797,5284701
1798,5286485
1799,5296692
1800,5300451
1801,5300719
1802,5302643
1803,5304634
1804,5307209
1805,5309849
1806,5347580
1807,5385141
1808,5385754
1809,5390357
1810,5397516
1811,5429163
1812,5475664
1813,5476473
1814,5479538
1815,5481390
1816,5481482
1817,5482510
1818,5522154
1819,5526545
1820,5529323
1821,5534340
1822,5558379
1823,5560691
1824,5561007
1825,5565497
1826,5565707
1827,5608334
1828,5609486
1829,5617255
1830,5617535
1831,5630362
1832,5638409
1833,5648562
1834,5650062
1835,5650108
1836,5688919
1837,5702637
1838,5707205
1839,5716472
1840,5717449
1841,5721610
1842,5722737
1843,5725312
1844,5725443
1845,5730867
1846,5737104
1847,5737902
1848,5771101
1849,5788165
1850,5791884
1851,5794197
1852,5809732
1853,5816288
1854,5880360
1855,5880445
1856,5900260
1857,5903062
1858,5950759
1859,5954264
1860,5960564
1861,5965837
1862,5966212
1863,5978295
1864,5978805
1865,5979866
1866,5981039
1867,5990706
1868,6019416
1869,6035335
1870,6062766
1871,6065351
1872,6071684
1873,6107117
1874,6116172
1875,6119788
1876,6130261
1877,6131093
1878,6138789
1879,6141503
1880,6154326
1881,6183478
1882,6195556
1883,6196629
1884,6211901
1885,6230529
1886,6231538
1887,6271512
1888,6279388
1889,6290877
1890,6290908
1891,6291473
1892,6294556
1893,6301745
1894,6310627
1895,6344431
1896,6352430
1897,6366627
1898,6382916
1899,6387579
1900,6387770
1901,6387895
1902,6428925
1903,6441258
1904,6445969
1905,6448666
1906,6449081
1907,6460258
1908,6467349
1909,6468146
1910,6470922
1911,6497003
1912,6522823
1913,6529902
1914,6541245
1915,6547396
1916,6586020
1917,6595406
1918,6619377
1919,6627367
1920,6631188
1921,6635493
1922,6696050
1923,6715331
1924,6719266
1925,6721089
1926,6757160
1927,6791090
1928,6803964
1929,6806724
1930,6861400
1931,6862840
1932,6869740
1933,6871350
1934,6922995
1935,6923424
1936,6935101
1937,6936178
1938,6937123
1939,6952259
1940,6955650
1941,6960727
1942,6963490
1943,6974847
1944,7031107
1945,7051690
1946,7053456
1947,7059699
1948,7106648
1949,7124161
1950,7185924
1951,7198734
1952,7204794
1953,7269623
1954,7271892
1955,7281814
1956,7282228
1957,7294135
1958,7302192
1959,7351433
1960,7354531
1961,7365537
1962,7379646
1963,7381616
1964,7463623
1965,7467185
1966,7499407
1967,7511980
1968,7523960
1969,7538543
1970,7582608
1971,7583437
1972,7595579
1973,7613422
1974,7620654
1975,7621172
1976,7621793
1977,7658578
1978,7662402
1979,7694191
1980,7703305
1981,7731467
1982,7733685
1983,7750215
1984,7750216
1985,7770282
1986,7772919
1987,7778826
1988,7798924
1989,7816329
1990,7836868
1991,7838383
1992,7840896
1993,7878396
1994,7890526
1995,7904642
1996,7908011
1997,7937494
1998,7938180
1999,7939065
2000,7950727
2001,7954107
2002,7956461
2003,7956547
2004,7971008
2005,7975162
2006,7977047
2007,7983108
2008,7989079
2009,8018827
2010,8022144
2011,8023217
2012,8025357
2013,8036315
2014,8044889
2015,8052082
2016,8056861
2017,8057661
2018,8086490
2019,8090059
2020,8106097
2021,8123127
2022,8125339
2023,8127448
2024,8144212
2025,8150307
2026,8154223
2027,8155291
2028,8178778
2029,8190872
2030,8197019
2031,8198031
2032,8228729
2033,8231525
2034,8235853
2035,8243190
2036,8248296
2037,8249829
2038,8256621
2039,8257115
2040,8263970
2041,8264075
2042,8264274
2043,8264550
2044,8264801
2045,8264824
2046,8265126
2047,8265244
2048,8265481
2049,8312491
2050,8314246
2051,8315263
2052,8322016
2053,8323981
2054,8326356
2055,8329014
2056,8332193
2057,8332664
2058,8351778
2059,8364412
2060,8379283
2061,8382172
2062,8390631
2063,8390667
2064,8390921
2065,8393922
2066,8398290
2067,8411693
2068,8424446
2069,8426007
2070,8432962
2071,8442040
2072,8444802
2073,8456151
2074,8460081
2075,8493159
2076,8500899
2077,8508096
2078,8520433
2079,8516900
2080,8521020
2081,8521059
2082,8523595
2083,8524953
2084,8525214
2085,8525691
2086,8573774
2087,8585472
2088,8591404
2089,8612612
2090,8640132
2091,8646235
2092,8648251
2093,8648866
2094,8649814
2095,8651452
2096,8653100
2097,8682555
2098,8695628
2099,8701099
2100,8702381
2101,8716028
2102,8718678
2103,8759967
2104,8771498
2105,8777609
2106,8777843
2107,8827407
2108,8827572
2109,8848942
2110,8883847
2111,8908544
2112,8908767
2113,8938257
2114,8940640
2115,8955867
2116,8960514
2117,8976187
2118,8976344
2119,8976589
2120,9005210
2121,9016344
2122,9017929
2123,9028134
2124,9047103
2125,9084373
2126,9092529
2127,9095152
2128,9115188
2129,9118716
2130,9119402
2131,9147229
2132,9206046
2133,9209247
2134,9214444
2135,9222516
2136,9230007
2137,9242059
